One Punch Man

[Garou, One Punch Man, 0, None]
[Vaccine Man, One Punch Man, 1, None]
[Nichirin, One Punch Man, 1, None]
[Armored Gorilla, One Punch Man, 1, None]
[Heroes, One Punch Man, 1, None]
[Chain%27n%27toad, One Punch Man, 1, None]
[Tongara, One Punch Man, 1, None]
[Okamaitachi, One Punch Man, 1, None]
[Bushidrill, One Punch Man, 1, None]
[Needle Star, One Punch Man, 1, None]
[Bug God, One Punch Man, 1, None]
[Lily, One Punch Man, 1, None]
[Tanktop Black Hole, One Punch Man, 1, None]
[Subterranean People, One Punch Man, 1, None]
[Stinger, One Punch Man, 1, None]
[Geryuganshoop, One Punch Man, 1, None]
[Tanktop Tiger, One Punch Man, 1, None]
[Hammerhead, One Punch Man, 1, None]
[Max, One Punch Man, 1, None]
[Crablante, One Punch Man, 1, None]
[G4, One Punch Man, 1, None]
[Apollo, One Punch Man, 1, None]
[Eyelashes, One Punch Man, 1, None]
[Super Fight Announcer, One Punch Man, 1, None]
[Zakos, One Punch Man, 1, None]
[Lin Lin, One Punch Man, 1, None]
[Accel, One Punch Man, 1, None]
[Benpatsu, One Punch Man, 1, None]
[Sludge Jellyfish, One Punch Man, 1, None]
[Electric Catfish Man, One Punch Man, 1, None]
[Pesky Clown, One Punch Man, 1, None]
[Food Battler Futoshi, One Punch Man, 1, None]
[Shadow Ring, One Punch Man, 1, None]
[Genji, One Punch Man, 1, None]
[Maiko Plasma, One Punch Man, 1, None]
[Marugori, One Punch Man, 2, None]
[Darkness Blade, One Punch Man, 2, None]
[Beast King, One Punch Man, 2, None]
[Raiden, One Punch Man, 2, None]
[Lord of Mountains, One Punch Man, 2, None]
[Hamukichi, One Punch Man, 2, None]
[Custom Hero, One Punch Man, 2, None]
[Awakened Cockroach, One Punch Man, 2, None]
[Mountain Ape, One Punch Man, 2, None]
[Kombu Infinity, One Punch Man, 2, None]
[Devil Long Hair, One Punch Man, 2, None]
[Haragiri, One Punch Man, 2, None]
[One Shotter, One Punch Man, 2, None]
[Heavy Kong, One Punch Man, 2, None]
[Super Mouse, One Punch Man, 2, None]
[Zenko, One Punch Man, 2, None]
[Empty Void, One Punch Man, 2, None]
[Volten, One Punch Man, 2, None]
[Twin Tail, One Punch Man, 2, None]
[Wild Horn, One Punch Man, 2, None]
[Gearsper, One Punch Man, 2, None]
[Narinki, One Punch Man, 2, None]
[Eyesight, One Punch Man, 2, None]
[Fuzzy, One Punch Man, 2, None]
[Showerhead, One Punch Man, 2, None]
[Chief Kuma, One Punch Man, 2, None]
[Senior Centipede, One Punch Man, 2, None]
[Humans, One Punch Man, 2, None]
[Noria, One Punch Man, 2, None]
[Zanbai, One Punch Man, 2, None]
[Unihorn, One Punch Man, 2, None]
[Feather, One Punch Man, 2, None]
[Internet Surfers, One Punch Man, 2, None]
[Rosie, One Punch Man, 2, None]
[Red Nose, One Punch Man, 2, None]
[Asami, One Punch Man, 2, None]
[Blue Fire, One Punch Man, 2, None]
[Smile Man, One Punch Man, 2, None]
[Baquma, One Punch Man, 2, None]
[D-Pad, One Punch Man, 2, None]
[Narcisstoic, One Punch Man, 2, None]
[Subterranean King, One Punch Man, 2, None]
[Cruel Dragon, One Punch Man, 2, None]
[Amahare, One Punch Man, 2, None]
[Evil Eye, One Punch Man, 2, None]
[Jet Nice Guy, One Punch Man, 2, None]
[Sosshi, One Punch Man, 2, None]
[Swim, One Punch Man, 2, None]
[Poison, One Punch Man, 2, None]
[Groribas, One Punch Man, 2, None]
[Sanshon, One Punch Man, 2, None]
[Chinpi, One Punch Man, 2, None]
[Bone, One Punch Man, 2, None]
[Tanktop Vegetarian, One Punch Man, 2, None]
